文件名,处理时间,案例编号,案例名称,地区,学段,产业应用现状,优势和创新点,关键技术路径,技术要素,Unnamed: 10,工具名称,企业名称,是否自主研发,产品形态,产品分类,文档内容依据,主要应用场景,次要应用场景,应用场景（一级）,应用场景（二级）,培养方向,潜在成效,关键技术路径.1,技术要素.1,产业应用现状.1,优势和创新点.1,学科,工具标准名,公司,省份,三赋能分类,iSTAR人机协同层级,D1_深度学习,D2_绿色鲁棒,D3_循证教学,D4_人机互信,智慧教育境界,技术路径类型,创新深度评分,产品技术代际
第1021号案例_《三段式AI助学：让气温计课堂活起来》案例申报书.docx,2026-02-03 10:48:59,1021,三段式AI助学：让气温计课堂活起来,浙江省,初中,该模式具备在各学段多学科规模化推广的潜力，操作简单、效果显著，为一线教师提供了实用且易推广的教学范例。,构建了具象化引导、验证式探究和价值型育人的三阶AI融合育人模式，重塑课堂互动逻辑，提升学生学习兴趣与能力。,情境驱动 → 探究实践 → 情感升华,"[""虚拟实验"", ""数字人形象"", ""情境创设"", ""互动式学习"", ""AI辅助教学""]",,钉钉,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中描述“利用即梦技术支撑，生成动态虚拟环境”,课堂教学,沉浸式学习情境创设,助学,智能辅导系统,智育,学生：提升学习兴趣与探究能力；教师：优化课堂教学流程与互动；学校：推动AI辅助教学的有效实施。,情境驱动 → 探究实践 → 情感升华,"数据采集层（虚拟实验数据记录与分析）
行为识别层（学生互动模式分析）
个性化学习层（基于AI的即时反馈与指导）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期。,构建了“情境驱动—探究实践—情感升华”的三段式教学模式，利用AI工具提升课堂互动性与学生学习动机，形成可推广的教学范例。,科学,即梦 AI,即梦 AI,河北省,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1021号案例_《三段式AI助学：让气温计课堂活起来》案例申报书.docx,2026-02-03 10:48:59,1021,三段式AI助学：让气温计课堂活起来,浙江省,初中,该模式具备在各学段多学科规模化推广的潜力，操作简单、效果显著，为一线教师提供了实用且易推广的教学范例。,构建了具象化引导、验证式探究和价值型育人的三阶AI融合育人模式，重塑课堂互动逻辑，提升学生学习兴趣与能力。,情境驱动 → 探究实践 → 情感升华,"[""虚拟实验"", ""数字人形象"", ""情境创设"", ""互动式学习"", ""AI辅助教学""]",,问卷星,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中描述“利用即梦软件制作哪吒买药视频，创设苯酚甘油滴耳液教学情境”,课堂教学,情境创设与视频制作,助学,智能辅导系统,智育,学生：提升学习兴趣与探究能力；教师：优化课堂教学流程与互动；学校：推动AI辅助教学的有效实施。,情境驱动 → 探究实践 → 情感升华,"数据采集层（虚拟实验数据记录与分析）
行为识别层（学生互动模式分析）
个性化学习层（基于AI的即时反馈与指导）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期。,构建了“情境驱动—探究实践—情感升华”的三段式教学模式，利用AI工具提升课堂互动性与学生学习动机，形成可推广的教学范例。,科学,即梦 AI,即梦 AI,河北省,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1022号案例_探境·探趣·探理：AIGC赋能小学数学概念教学的实践研究——以二年级“认识平均分”为例.docx,2026-02-03 10:48:41,1022,探境·探趣·探理：AIGC赋能小学数学概念教学的实践研究——以二年级“认识平均分”为例,杭州市,小学,AIGC技术在小学数学教学中的应用处于探索阶段，具备良好的可复制性与推广性。,通过AIGC生成动态交互情境，突破传统教学模式，实现个性化概念建构与即时反馈，提升学生的数学理解能力。,需求分析 → AIGC驱动的交互学习场景构建 → 教学模式与技术应用创新 → 应用实践与推广价值,"[""生成式人工智能"", ""交互式情境设计"", ""即时反馈系统"", ""个性化学习路径"", ""动态情境生成""]",,AIGC互动情境,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中描述“打开即梦输入豆包生成的提示词生成图片”,课堂教学,视频生成与编辑,助学,智能辅导系统,智育,学生：深化概念理解、提升操作与算式的联系；教师：实现个性化教学与即时反馈；学校：推动课堂教学模式转变，提升教学效果。,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"数据采集层（动态情境生成与多模态交互）
行为识别层（学生操作路径与反应时间记录）
画像诊断层（即时反馈与过程性评价）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,利用AIGC生成动态交互情境，突破传统教学模式，实现个性化、差异化的概念教学，提升学生的学习参与度与理解深度。,数学,即梦 AI,即梦 AI,河北省,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1023号案例_循数据之证，研真实之学：AI支持下的课堂教学诊断与教研转型.docx,2026-02-03 10:48:46,1023,循数据之证，研真实之学：AI支持下的课堂教学诊断与教研转型,杭州,小学,已在我校全面部署，覆盖全体教师，具备广泛的推广价值,通过AI分析生成结构化报告，为教师提供精准建议，实现个体反思、组织研讨与学校治理的闭环，推动教师专业发展的新生态。,轻量化采集 → 智能化分析 → 个性化输出,"[""自然语言处理"", ""机器学习"", ""多模态数据融合"", ""数据驱动分析"", ""教学行为识别""]",,小思成长系统,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“通过即梦动画工具生成适配幼儿视觉的动态视频”,美术教学,动态视频生成,助教,教学分析,智育,学生：通过精准的教学反思提升学习效果；教师：获得个性化的专业发展建议；学校：实现全学科教学质量监测与经验沉淀。,轻量化数据采集 → 智能化分析 → 个性化输出,"数据采集层（多模态数据采集与融合）
行为识别层（教学行为识别与分析）
画像诊断层（个性化教学建议生成）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期。,构建了个体反思、组织研讨、学校治理的闭环，推动了人工智能从工具性应用向生态化融合的范式升级。,语文,即梦 AI,即梦 AI,四川省,赋能教师,HMC(1),0,0,1,0,第二境界_教学模式,T1_内容生成,1,Gen5_多模态AI
第1023号案例_循数据之证，研真实之学：AI支持下的课堂教学诊断与教研转型.docx,2026-02-03 10:48:46,1023,循数据之证，研真实之学：AI支持下的课堂教学诊断与教研转型,杭州,小学,已在我校全面部署，覆盖全体教师，具备广泛的推广价值,通过AI分析生成结构化报告，为教师提供精准建议，实现个体反思、组织研讨与学校治理的闭环，推动教师专业发展的新生态。,轻量化采集 → 智能化分析 → 个性化输出,"[""自然语言处理"", ""机器学习"", ""多模态数据融合"", ""数据驱动分析"", ""教学行为识别""]",,小思听客,未点名企业,0.0,AI模型,AI 能力 / 模型 / API（基础层）,案例使用的基础大模型豆包大模型、即梦、小鹿云展,数字创作,图像生成,助教,教学分析,智育,学生：通过精准的教学反思提升学习效果；教师：获得个性化的专业发展建议；学校：实现全学科教学质量监测与经验沉淀。,轻量化数据采集 → 智能化分析 → 个性化输出,"数据采集层（多模态数据采集与融合）
行为识别层（教学行为识别与分析）
画像诊断层（个性化教学建议生成）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期。,构建了个体反思、组织研讨、学校治理的闭环，推动了人工智能从工具性应用向生态化融合的范式升级。,语文,即梦 AI,即梦 AI,浙江省,赋能教师,HMC(1),0,0,1,0,第二境界_教学模式,T1_内容生成,1,Gen5_多模态AI
第1023号案例_循数据之证，研真实之学：AI支持下的课堂教学诊断与教研转型.docx,2026-02-03 10:48:46,1023,循数据之证，研真实之学：AI支持下的课堂教学诊断与教研转型,杭州,小学,已在我校全面部署，覆盖全体教师，具备广泛的推广价值,通过AI分析生成结构化报告，为教师提供精准建议，实现个体反思、组织研讨与学校治理的闭环，推动教师专业发展的新生态。,轻量化采集 → 智能化分析 → 个性化输出,"[""自然语言处理"", ""机器学习"", ""多模态数据融合"", ""数据驱动分析"", ""教学行为识别""]",,小思教研秘书,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中描述“利用即梦AI软件生成‘日、月、山、川’等字的演变过程”,课堂教学,汉字演变展示,助教,教学分析,智育,学生：通过精准的教学反思提升学习效果；教师：获得个性化的专业发展建议；学校：实现全学科教学质量监测与经验沉淀。,轻量化数据采集 → 智能化分析 → 个性化输出,"数据采集层（多模态数据采集与融合）
行为识别层（教学行为识别与分析）
画像诊断层（个性化教学建议生成）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期。,构建了个体反思、组织研讨、学校治理的闭环，推动了人工智能从工具性应用向生态化融合的范式升级。,语文,即梦 AI,即梦 AI,未提及,赋能教师,HMC(1),0,0,1,0,第二境界_教学模式,T1_内容生成,1,Gen5_多模态AI
第1024号案例_以AI赋能想象表达.docx,2026-02-03 10:48:29,1024,以AI赋能想象表达,杭州市,小学,该模式已在本校三年级成功实施，教学成效显著，适用于小学语文想象类文本教学，应用前景广阔。,通过AI生成的可视化画面激发学生的创作内驱力，形成可迁移、可复制的AI赋能练笔应用范式，提升学生的语文核心素养。,文本理解 → AI生成视觉内容 → 学生想象与表达 → 反馈与优化,"[""自然语言处理"", ""图像生成"", ""动态视频生成"", ""教育数据分析"", ""人工智能算法""]",,豆包,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中描述“通过即梦软件的3D动画功能，将学生描述的诗句内容转化为动态画面”,课堂教学,3D动态场景生成,助学,智能辅导系统,智育,学生：提升文本鉴赏力、想象思维与语言表达能力；教师：实现教学过程的有效引导与支持；学校：探索AI与语文教学深度融合的新模式,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"数据采集层（多模态学习数据采集与融合）
行为识别层（学习意图识别、学习路径偏差检测）
画像诊断层（个性化画像生成、过程性反馈解释）
个性化学习层（即时生成反馈）",企业产品以'学习支持工具'为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,构建'教师—AI—学生'三维互动的新型课堂模式，AI作为智能学伴深度融入教学流程，提升学生的语文核心素养，创造个性化写作指导的规模化实施路径,语文,即梦 AI,即梦 AI,浙江省,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen5_多模态AI
第1024号案例_以AI赋能想象表达.docx,2026-02-03 10:48:29,1024,以AI赋能想象表达,杭州市,小学,该模式已在本校三年级成功实施，教学成效显著，适用于小学语文想象类文本教学，应用前景广阔。,通过AI生成的可视化画面激发学生的创作内驱力，形成可迁移、可复制的AI赋能练笔应用范式，提升学生的语文核心素养。,文本理解 → AI生成视觉内容 → 学生想象与表达 → 反馈与优化,"[""自然语言处理"", ""图像生成"", ""动态视频生成"", ""教育数据分析"", ""人工智能算法""]",,即梦,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“以AI图像生成工具（如即梦）创设教室、度量衡王国的3D场景图”,课堂教学,3D情境创设,助学,智能辅导系统,智育,学生：提升文本鉴赏力、想象思维与语言表达能力；教师：实现教学过程的有效引导与支持；学校：探索AI与语文教学深度融合的新模式,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"数据采集层（多模态学习数据采集与融合）
行为识别层（学习意图识别、学习路径偏差检测）
画像诊断层（个性化画像生成、过程性反馈解释）
个性化学习层（即时生成反馈）",企业产品以'学习支持工具'为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,构建'教师—AI—学生'三维互动的新型课堂模式，AI作为智能学伴深度融入教学流程，提升学生的语文核心素养，创造个性化写作指导的规模化实施路径,语文,即梦 AI,即梦 AI,浙江省,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen5_多模态AI
第1025号案例_申报书.docx,2026-02-03 10:48:25,1025,语言大模型支持下的信息科技课堂互动场景创设,浙江省,小学,本案例已在小范围试点教学中取得显著成效，展现出巨大的推广潜力。,本案例的核心创新在于“AI驱动的场景化交互教学模式”，通过互动游戏、在线实验等方式，突破了传统教学模式，提升了学生的学习成效与核心素养。,基于DeepSeek等大型语言模型平台，设计并实施多样化的交互式练习，促进学生的概念理解与综合创新。,"[""大型语言模型"", ""互动游戏设计"", ""在线测试生成"", ""在线实验模拟"", ""自主设计与创作""]",,DeepSeek,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“可以增加AI小老师来对内容进行讲解”,AI陪读,内容讲解,助学,智能辅导系统,智育,学生：提升抽象概念理解能力与核心素养；教师：通过AI工具提升教学设计与资源应用能力；学校：实现个性化学习与教学创新。,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"数据采集层（多模态学习数据采集与融合）
行为识别层（学习意图识别、学习路径偏差检测）
画像诊断层（个性化画像生成、过程性反馈解释）
个性化学习层（即时生成反馈）",企业产品以'学习支持工具'为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期。,AI驱动的场景化交互教学模式，利用大模型生成互动内容，降低了创新教学门槛，提升了学生的主动学习能力与教师的教学效率。,信息科技,即梦 AI,即梦 AI,浙江省,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1026号案例_案例申报书.docx,2026-02-03 10:48:29,1026,智联数据，智优课堂,杭州市,小学,未提及,未提及,未提及,[],,,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到‘再用“即梦”把文字转化为对话视频’,课堂教学,对话视频生成,助学,智能辅导系统,智育,未提及,未提及,未提及,未提及,未提及,未提及,即梦 AI,即梦 AI,天津市,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen5_多模态AI
第1027号案例_杭州市文晖实验小学+邵瑜+《智能体赋能小学语文低段口语交际教学的设计与实践——以二年级上册〈商量〉教学为例》.docx,2026-02-03 10:48:33,1027,智能体赋能小学语文低段口语交际教学的设计与实践——以二年级上册〈商量〉教学为例,杭州市,小学,已在区域内两所小学二年级开展试点应用，具备规模化推广的潜力,通过智能体“津小礼”实现课堂立体交互，提升学生口语表达与交际能力，个性化指导与实时反馈显著提高教学效果。,需求分析 → 智能体设计与搭建 → 课堂互动与反馈 → 数据采集与分析,"[""语义理解"", ""数据分析"", ""个性化学习"", ""实时反馈"", ""表现性评价""]",,津小礼,未点名企业,0.0,AI工具,AI 能力 / 模型 / API（基础层）,文档中提到“用‘即梦’将传统微课改为数字人微课”,教学设计,视频生成,助学,智能辅导系统,智育,学生：提升口语表达与交际能力；教师：减轻重复性教学负担，聚焦个性化指导；学校：推动教育公平与整体教育质量提升。,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,数据采集层（课堂对话记录、前测数据采集）；行为识别层（实时反馈与评价）；画像诊断层（可视化表现性评价）；个性化学习层（即时策略支持与推送）,案例已在区域内两所小学开展试点应用，具备规模化推广的潜力，整体处于应用探索阶段。,通过智能体实现课堂立体交互，提升学生参与度与个性化学习，构建沉浸式口语交际教学新样态。,语文,即梦 AI,即梦 AI,重庆市,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1027号案例_杭州市文晖实验小学+邵瑜+《智能体赋能小学语文低段口语交际教学的设计与实践——以二年级上册〈商量〉教学为例》.docx,2026-02-03 10:48:33,1027,智能体赋能小学语文低段口语交际教学的设计与实践——以二年级上册〈商量〉教学为例,杭州市,小学,已在区域内两所小学二年级开展试点应用，具备规模化推广的潜力,通过智能体“津小礼”实现课堂立体交互，提升学生口语表达与交际能力，个性化指导与实时反馈显著提高教学效果。,需求分析 → 智能体设计与搭建 → 课堂互动与反馈 → 数据采集与分析,"[""语义理解"", ""数据分析"", ""个性化学习"", ""实时反馈"", ""表现性评价""]",,扣子平台,未点名企业,0.0,软件平台,平台内嵌功能模块 / 插件,文档中提到“使用即梦制作数字人讲解小视频”,教学资源生成,数字人讲解视频制作,助学,智能辅导系统,智育,学生：提升口语表达与交际能力；教师：减轻重复性教学负担，聚焦个性化指导；学校：推动教育公平与整体教育质量提升。,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,数据采集层（课堂对话记录、前测数据采集）；行为识别层（实时反馈与评价）；画像诊断层（可视化表现性评价）；个性化学习层（即时策略支持与推送）,案例已在区域内两所小学开展试点应用，具备规模化推广的潜力，整体处于应用探索阶段。,通过智能体实现课堂立体交互，提升学生参与度与个性化学习，构建沉浸式口语交际教学新样态。,语文,即梦 AI,即梦 AI,新疆维吾尔自治区,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1028号案例_智能体在历史学科实践中的搭建与应用.docx,2026-02-03 10:48:34,1028,智能体在历史学科实践中的搭建与应用,浙江省杭州,初中,该案例的应用前景较广，中学阶段一线教师都可以熟练运用，操作不涉及代码，没有设计难度。,智能体的引入为课堂带来了全新的互动体验，学生对这种新颖的教学方式表现出浓厚的兴趣，显著提高了学习的积极性与主动性，实现因材施教。,智能体搭建 → 可控语料库设置 → 学生互动与反馈 → 知识评价与总结,"[""智能体搭建"", ""语料库管理"", ""开放式问答"", ""苏格拉底式问答"", ""知识评价""]",,智能体帕帕,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“采用即梦制作沉浸式课件”,课堂教学,情境创设,助学,智能辅导系统,智育,学生：提高史料实证素养，激发学习兴趣；教师：减轻教学压力，实现个性化辅导；学校：提升课堂效率，推广可复制的教学模式。,智能体搭建 → 知识库设置 → 开放式问答与苏格拉底式问答 → 知识评价与反馈,"数据采集层（可控语料库的设置与使用）
行为识别层（智能体与学生的互动分析）
个性化学习层（因材施教与即时反馈）",企业产品以'学习支持工具'为主，教师通过简单操作搭建智能体，整体处于推广应用阶段。,智能体的引入提升了课堂互动性，降低了技术门槛，具有较强的可复制性和多样化应用潜力，能够有效支持学生的个性化学习。,历史,即梦 AI,即梦 AI,未提及,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen5_多模态AI
第1029号案例_杭州市富阳区东洲中心小学+应强+以学定教：基于“AI”批阅报告的习作教学探究.docx,2026-02-03 10:48:31,1029,以学定教：基于“AI”批阅报告的习作教学探究,杭州市富阳区,小学,AI技术与习作教学的深度融合仍需进一步探索，整体处于推广阶段,通过AI批改报告实现习作教学的个性化反馈与自我修改，推动学生习作素养的提升与教师教学方法的创新。,习作提交 → AI批改报告生成 → 学情分析与反馈 → 自我修改与提升,"[""智能分析"", ""数据统计"", ""个性化反馈"", ""自我反思"", ""习作能力评估""]",,文曲智阅系统,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“通过即梦平台构建沉浸式语言环境”,课堂教学,沉浸式语言环境构建,助学,智能辅导系统,智育,学生：提升习作能力和自我修改能力；教师：精准把握学生习作水平，提供个性化指导；学校：推动教学模式转变，实现“以学定教”的教学理念。,习作提交 → AI智能分析与评价 → 反馈与自我修改 → 习作提升,"数据采集层（习作数据收集与分析）
画像诊断层（习作能力评分与反馈生成）
个性化学习层（基于AI的修改建议与资源推荐）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,通过AI批改报告实现习作的动态反馈与个性化指导，促进学生自我反思与习作能力提升，形成“创作-反馈-迭代”的学习生态圈。,语文,即梦 AI,即梦 AI,天津市,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen5_多模态AI
第1029号案例_杭州市富阳区东洲中心小学+应强+以学定教：基于“AI”批阅报告的习作教学探究.docx,2026-02-03 10:48:31,1029,以学定教：基于“AI”批阅报告的习作教学探究,杭州市富阳区,小学,AI技术与习作教学的深度融合仍需进一步探索，整体处于推广阶段,通过AI批改报告实现习作教学的个性化反馈与自我修改，推动学生习作素养的提升与教师教学方法的创新。,习作提交 → AI批改报告生成 → 学情分析与反馈 → 自我修改与提升,"[""智能分析"", ""数据统计"", ""个性化反馈"", ""自我反思"", ""习作能力评估""]",,豆包,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“利用即梦灯光扫描手绘设计图，生成动图”,AR场景创建,动态展示与互动,助学,智能辅导系统,智育,学生：提升习作能力和自我修改能力；教师：精准把握学生习作水平，提供个性化指导；学校：推动教学模式转变，实现“以学定教”的教学理念。,习作提交 → AI智能分析与评价 → 反馈与自我修改 → 习作提升,"数据采集层（习作数据收集与分析）
画像诊断层（习作能力评分与反馈生成）
个性化学习层（基于AI的修改建议与资源推荐）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,通过AI批改报告实现习作的动态反馈与个性化指导，促进学生自我反思与习作能力提升，形成“创作-反馈-迭代”的学习生态圈。,语文,即梦 AI,即梦 AI,宁夏回族自治区,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen5_多模态AI
第1029号案例_杭州市富阳区东洲中心小学+应强+以学定教：基于“AI”批阅报告的习作教学探究.docx,2026-02-03 10:48:31,1029,以学定教：基于“AI”批阅报告的习作教学探究,杭州市富阳区,小学,AI技术与习作教学的深度融合仍需进一步探索，整体处于推广阶段,通过AI批改报告实现习作教学的个性化反馈与自我修改，推动学生习作素养的提升与教师教学方法的创新。,习作提交 → AI批改报告生成 → 学情分析与反馈 → 自我修改与提升,"[""智能分析"", ""数据统计"", ""个性化反馈"", ""自我反思"", ""习作能力评估""]",,即梦AI,未点名企业,0.0,软件平台,教学辅助工具（工具型）,文档中提到“案例使用的基础大模型即梦”,课堂教学,音乐教学辅助,助学,智能辅导系统,智育,学生：提升习作能力和自我修改能力；教师：精准把握学生习作水平，提供个性化指导；学校：推动教学模式转变，实现“以学定教”的教学理念。,习作提交 → AI智能分析与评价 → 反馈与自我修改 → 习作提升,"数据采集层（习作数据收集与分析）
画像诊断层（习作能力评分与反馈生成）
个性化学习层（基于AI的修改建议与资源推荐）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,通过AI批改报告实现习作的动态反馈与个性化指导，促进学生自我反思与习作能力提升，形成“创作-反馈-迭代”的学习生态圈。,语文,即梦 AI,即梦 AI,宁夏回族自治区,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T1_内容生成,2,Gen5_多模态AI
第1030号案例_杭州市富阳区富春第八小学 吴所具 AI赋能小学口语交际教学的实践与突破——以五年级下册《我是小小讲解员》为例.docx,2026-02-03 10:48:49,1030,AI赋能小学口语交际教学的实践与突破 —— 以五年级下册《我是小小讲解员》为例,杭州市富阳区,小学,本案例为广大中小学校尤其是农村提供了实践方案，推动“AI + 基础教育”的规模化发展。,通过AI技术的应用，打破传统口语交际教学的局限，实现思维可视化、真实情境实践与精准化评价的三维闭环教学模式。,AI语音分析与视觉反馈 → 情境创设与互动教学 → 精准化教学反馈与评价,"[""语音识别"", ""自然语言处理"", ""脑图生成"", ""智能体交互"", ""数据驱动反馈""]",,通义千问,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到“利用即梦、豆包等工具生成活泼可爱的‘剪影数字人’形象”,课堂教学,情境创设,助学,智能辅导系统,智育,学生：提升口语交际能力、逻辑思维能力；教师：实现精准化教学反馈；学校：提供可复制的口语教学实践模板。,AI语音分析 → AI语音反馈 → 情境创设 → 精准化教学反馈,"数据采集层（语音转文字、思维导图生成）
行为识别层（AI语音分析、学生表现评价）
画像诊断层（个性化反馈生成、逻辑思维优化）",企业产品以AI工具为主，学校通过场景化整合实现教学适配，整体处于推广应用阶段。,构建“三维闭环式”新范式，打破传统教学局限，通过AI技术实现思维可视化、真实情境实践与精准化评价的深度融合。,语文,即梦 AI,即梦 AI,宁夏回族自治区,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1030号案例_杭州市富阳区富春第八小学 吴所具 AI赋能小学口语交际教学的实践与突破——以五年级下册《我是小小讲解员》为例.docx,2026-02-03 10:48:49,1030,AI赋能小学口语交际教学的实践与突破 —— 以五年级下册《我是小小讲解员》为例,杭州市富阳区,小学,本案例为广大中小学校尤其是农村提供了实践方案，推动“AI + 基础教育”的规模化发展。,通过AI技术的应用，打破传统口语交际教学的局限，实现思维可视化、真实情境实践与精准化评价的三维闭环教学模式。,AI语音分析与视觉反馈 → 情境创设与互动教学 → 精准化教学反馈与评价,"[""语音识别"", ""自然语言处理"", ""脑图生成"", ""智能体交互"", ""数据驱动反馈""]",,豆包,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中提到‘用“即梦”把文字转化为对话视频’,课堂教学,虚拟对话生成,助学,智能辅导系统,智育,学生：提升口语交际能力、逻辑思维能力；教师：实现精准化教学反馈；学校：提供可复制的口语教学实践模板。,AI语音分析 → AI语音反馈 → 情境创设 → 精准化教学反馈,"数据采集层（语音转文字、思维导图生成）
行为识别层（AI语音分析、学生表现评价）
画像诊断层（个性化反馈生成、逻辑思维优化）",企业产品以AI工具为主，学校通过场景化整合实现教学适配，整体处于推广应用阶段。,构建“三维闭环式”新范式，打破传统教学局限，通过AI技术实现思维可视化、真实情境实践与精准化评价的深度融合。,语文,即梦 AI,即梦 AI,天津市,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
第1030号案例_杭州市富阳区富春第八小学 吴所具 AI赋能小学口语交际教学的实践与突破——以五年级下册《我是小小讲解员》为例.docx,2026-02-03 10:48:49,1030,AI赋能小学口语交际教学的实践与突破 —— 以五年级下册《我是小小讲解员》为例,杭州市富阳区,小学,本案例为广大中小学校尤其是农村提供了实践方案，推动“AI + 基础教育”的规模化发展。,通过AI技术的应用，打破传统口语交际教学的局限，实现思维可视化、真实情境实践与精准化评价的三维闭环教学模式。,AI语音分析与视觉反馈 → 情境创设与互动教学 → 精准化教学反馈与评价,"[""语音识别"", ""自然语言处理"", ""脑图生成"", ""智能体交互"", ""数据驱动反馈""]",,AI评价系统,未点名企业,0.0,软件平台,平台型综合系统,文档中提到“案例使用的基础大模型豆包、即梦、Deepseek、VR”,课堂教学,学习习惯养成,助学,智能辅导系统,智育,学生：提升口语交际能力、逻辑思维能力；教师：实现精准化教学反馈；学校：提供可复制的口语教学实践模板。,AI语音分析 → AI语音反馈 → 情境创设 → 精准化教学反馈,"数据采集层（语音转文字、思维导图生成）
行为识别层（AI语音分析、学生表现评价）
画像诊断层（个性化反馈生成、逻辑思维优化）",企业产品以AI工具为主，学校通过场景化整合实现教学适配，整体处于推广应用阶段。,构建“三维闭环式”新范式，打破传统教学局限，通过AI技术实现思维可视化、真实情境实践与精准化评价的深度融合。,语文,即梦 AI,即梦 AI,天津市,赋能学生,HM2C(2),1,0,0,0,第二境界_教学模式,T1_内容生成,2,Gen5_多模态AI
